NoOfEvals,MyRexJggKTabletP7K5_0,MyRexJggKTabletP7K5_1,MyRexJggKTabletP7K5_2
32700,31.519787043341974,74.9635638960599,201.6123858122948
32800,31.519795064914234,74.96351665301778,201.61234955541087
32900,31.519795064914234,74.96350989450532,201.61234955541087
33000,31.51977738046739,74.96350989450532,201.61234955541087
33100,31.51977738046739,74.96352722284179,201.61234955541087
33200,31.51977738046739,74.96352175653519,201.61234955541087
33300,31.51976834136174,74.96349635385369,201.61234955541087
33400,31.519770149888398,74.96349635385369,201.61237291109384
33500,31.519768122204308,74.9634924761956,201.61236557948718
33600,31.51977412728843,74.96352016552024,201.61236557948718
33700,31.519777291603038,74.9635050730264,201.61235990420263
33800,31.519757987089957,74.9635042621946,201.6123604108022
33900,31.519757987089957,74.9635042621946,201.61234408621465
34000,31.519757987089957,74.96350521571561,201.61234408621465
34100,31.519757987089957,74.96349802201908,201.61234408621465
34200,31.519757987089957,74.96348580972305,201.61234408621465
34300,31.519757987089957,74.96348580972305,201.6123356980614
34400,31.51976353847211,74.96348622073877,201.6123356980614
34500,31.51976353847211,74.96348622073877,201.6123356980614
34600,31.519762024237032,74.96349173518529,201.6123356980614
34700,31.51976353847211,74.96349173518529,201.6123356980614
34800,31.519763165576844,74.9634731976127,201.6123356980614
34900,31.519763165576844,74.96348786434453,201.61235273594636
35000,31.51975969548675,74.96348352595835,201.61234618254446
35100,31.519761571479194,74.96348274497583,201.61234651299895
35200,31.519756276643292,74.96348513101064,201.61234235204725
35300,31.519757915456648,74.96348513101064,201.61234235204725
35400,31.519757915456648,74.96348513101064,201.61234507219177
35500,31.519757915456648,74.96348513101064,201.6123419805847
35600,31.519757119958456,74.96349089854465,201.6123419805847
35700,31.519757915456648,74.96348925929695,201.61234552073145
35800,31.519757915456648,74.96348844978269,201.6123448818693
35900,31.519757915456648,74.96348486465922,201.61234281236048
36000,31.51975774549249,74.96348541938157,201.61234124554656
36100,31.51975296170159,74.96348541938157,201.61234124554656
36200,31.51975296170159,74.96348541938157,201.61234124554656
36300,31.51975296170159,74.96348554173012,201.61234124554656
36400,31.51975711586737,74.96348517372205,201.61234124554656
36500,31.519757171671934,74.96348474183333,201.61234124554656
36600,31.519756188969282,74.96347829207053,201.6123416236488
36700,31.519755758051474,74.96347829207053,201.6123416236488
36800,31.519754693311327,74.96347829207053,201.6123416236488
36900,31.519754693311327,74.96348125219997,201.61234175807314
37000,31.51975466774219,74.96348042786289,201.61234168631398
37100,31.519754066215235,74.96348042786289,201.61234135524265
37200,31.519754066215235,74.96348125219997,201.61234148656771
37300,31.5197534358029,74.9634802415513,201.61234053746992
37400,31.5197534358029,74.9634802415513,201.61234110473367
37500,31.519753047805235,74.9634802415513,201.61234110473367
37600,31.519753047805235,74.96347817472227,201.61234110473367
37700,31.519753170790725,74.96347817472227,201.61234137929745
37800,31.519752869077237,74.96347892487421,201.61234124007035
37900,31.519752869077237,74.96347892487421,201.61234027908404
38000,31.519752869077237,74.96347892487421,201.61234006191359
38100,31.519752869077237,74.96347892487421,201.61234027908404
38200,31.519752869077237,74.96347892487421,201.61234033956598
38300,31.519752720784897,74.96347892487421,201.61234033956598
38400,31.519752720784897,74.96347847478843,201.61234033956598
38500,31.51975273611162,74.96347869989502,201.61234015413368
38600,31.51975273611162,74.96347806187508,201.61233969432195
38700,31.51975273611162,74.96347806187508,201.61233969432195
38800,31.51975273611162,74.96347806187508,201.6123395166061
